Wall time,Step,Value
1721052521.0486307,40,0.0
1721052547.6354108,60,0.0
1721052559.5849023,70,0.0
1721052585.3772862,90,0.0
1721052610.4155936,110,0.0
1721052623.472821,120,0.0
1721052637.82113,130,0.0
1721052650.839015,140,0.0
1721052663.671708,150,0.0
1721052676.3826866,160,0.0
1721052690.8506904,170,0.0
1721052703.4803486,180,0.0
1721052717.81661,190,0.0
1721052732.6248922,200,0.0
1721052748.9653578,210,0.0
1721052778.532675,230,0.0
1721052809.51491,250,0.0
1721052825.0810523,260,0.0
1721052909.4861042,310,0.0
1721052924.4559717,320,7.0
1721052940.5447102,330,0.0
1721052956.2828355,340,0.0
1721052971.818562,350,3.0
1721053002.5217898,370,0.0
1721053046.8524375,400,0.0
1721053062.1304488,410,0.0
1721053090.098518,430,0.0
1721053103.8232615,440,0.0
1721053118.94627,450,0.0
1721053132.671445,460,0.0
1721053160.224237,480,0.0
1721053189.5872884,500,0.0
1721053203.5264666,510,0.0
1721053246.8182154,540,0.0
1721053260.499272,550,0.0
1721053274.3293867,560,0.0
1721053289.4708064,570,0.0
1721053303.703564,580,0.0
1721053350.045019,610,0.0
1721053365.1530452,620,0.0
1721053394.9685273,640,3.0
1721053425.1405876,660,8.0
1721053439.9549625,670,0.0
1721053454.4652245,680,0.0
1721053470.568198,690,0.0
1721053484.858667,700,0.0
1721053513.3715909,720,0.0
1721053529.106713,730,0.0
1721053543.171699,740,0.0
1721053557.015484,750,0.0
1721053586.8319938,770,0.0
1721053615.2373714,790,0.0
1721053628.748592,800,0.0
1721053658.9164424,820,0.0
1721053703.5501444,850,0.0
1721053717.925062,860,1.0
1721053732.234841,870,0.0
1721053746.9545283,880,0.0
1721053763.8685331,890,0.0
1721053777.9192631,900,0.0
1721053806.1103482,920,0.0
1721053851.6781824,950,0.0
1721053924.2860808,1000,0.0
1721053969.0230837,1030,2.0
1721053998.2465005,1050,0.0
1721054013.0995688,1060,0.0
1721054027.5845745,1070,0.0
1721054134.2714396,1140,0.0
1721054182.3865402,1170,0.0
1721054213.1460311,1190,0.0
1721054228.130483,1200,0.0
1721054243.8910875,1210,0.0
1721054304.2857976,1250,0.0
1721054318.4938412,1260,0.0
1721054332.4792438,1270,0.0
1721054377.0418978,1300,0.0
1721054391.253734,1310,5.0
1721054436.1847472,1340,2.0
1721054497.3963964,1380,0.0
1721054526.84206,1400,0.0
1721054558.07248,1420,0.0
1721054573.350471,1430,0.0
1721054588.2142096,1440,5.0
1721054605.5705929,1450,0.0
1721054621.2630684,1460,0.0
1721054636.7536168,1470,0.0
1721054668.275705,1490,0.0
1721054695.492839,1510,0.0
1721054739.3519092,1540,0.0
1721054753.945726,1550,0.0
1721054769.066152,1560,0.0
1721054800.8946311,1580,0.0
1721054815.0662713,1590,0.0
1721054829.1935692,1600,0.0
1721054860.0363932,1620,0.0
1721054874.0042193,1630,0.0
1721054903.2288692,1650,0.0
1721054917.16161,1660,0.0
1721054946.87856,1680,6.0
1721054963.1430666,1690,0.0
1721054977.1150062,1700,0.0
1721055006.302936,1720,0.0
1721055063.3506908,1760,3.0
1721055078.5662234,1770,3.0
1721055092.8483274,1780,0.0
1721055108.3884218,1790,0.0
1721055137.9037535,1810,0.0
1721055151.741285,1820,0.0
1721055181.2969086,1840,0.0
1721055211.8747647,1860,0.0
1721055226.2460058,1870,0.0
1721055240.917416,1880,0.0
1721055258.592003,1890,0.0
1721055288.0321045,1910,0.0
1721055302.8199246,1920,0.0
1721055419.970909,1990,3.0
1721055485.2257664,2030,0.0
1721055547.7763305,2070,0.0
1721055562.0684316,2080,0.0
1721055578.835136,2090,0.0
1721055637.6401992,2130,0.0
1721055652.9436817,2140,0.0
1721055667.7313738,2150,0.0
1721055683.306841,2160,0.0
1721055728.5636742,2190,0.0
1721055743.6285386,2200,0.0
1721055775.0943255,2220,0.0
1721055789.2786424,2230,0.0
1721055804.135038,2240,0.0
1721055836.545422,2260,0.0
1721055852.022931,2270,0.0
1721055866.6658163,2280,0.0
1721055896.7053924,2300,0.0
1721055910.2649963,2310,0.0
1721055923.8488088,2320,5.0
1721055938.8436823,2330,0.0
1721055951.8032856,2340,0.0
1721055964.48572,2350,0.0
1721056004.0754442,2380,0.0
1721056016.9825428,2390,0.0
1721056043.3747456,2410,0.0
1721056096.1850595,2450,8.0
1721056109.341756,2460,0.0
1721056134.842826,2480,0.0
1721056149.8082092,2490,0.0
1721056163.306166,2500,0.0
1721056176.8202145,2510,0.0
1721056190.3939512,2520,0.0
1721056244.5984817,2560,0.0
1721056286.4228582,2590,5.0
1721056299.7767365,2600,0.0
1721056314.4736483,2610,0.0
1721056327.6970544,2620,0.0
1721056353.6872516,2640,0.0
1721056407.3216438,2680,0.0
1721056434.9174092,2700,0.0
1721056460.4766526,2720,0.0
1721056473.4772828,2730,0.0
1721056486.9087358,2740,0.0
1721056500.8751967,2750,0.0
1721056514.3614953,2760,0.0
1721056543.554181,2780,0.0
1721056557.1211593,2790,0.0
1721056585.878682,2810,0.0
1721056612.783051,2830,0.0
1721056640.3211615,2850,0.0
1721056716.6070848,2900,0.0
1721056743.3045363,2920,0.0
1721056757.6103432,2930,0.0
1721056794.2219074,2960,0.0
1721056810.1129034,2970,0.0
1721056824.3083684,2980,0.0
1721056836.3440175,2990,0.0
1721056848.837489,3000,0.0
1721056862.6369698,3010,0.0
1721056874.514722,3020,0.0
1721056887.2299078,3030,0.0
1721056899.7913928,3040,0.0
1721056952.425012,3080,0.0
1721056966.0038185,3090,0.0
1721056991.616765,3110,7.0
1721057031.5423048,3140,0.0
1721057081.070706,3180,0.0
1721057093.4819918,3190,0.0
1721057105.5474594,3200,0.0
1721057119.070145,3210,0.0
1721057143.272723,3230,0.0
1721057166.6806526,3250,0.0
1721057177.8686576,3260,0.0
1721057189.1205535,3270,0.0
